symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
MEUSDT,2026-05-26 08:00:00+00:00,-0.00018127,0.32304525,0.00072844
MEUSDT,2026-05-26 12:00:00+00:00,-0.00016162,0.3549806,-7.294e-05
MEUSDT,2026-05-26 16:00:00+00:00,-0.00017916,0.33455428,0.00021478
MEUSDT,2026-05-26 20:00:00+00:00,-8.265e-05,0.4583884,-0.00010445
MEUSDT,2026-05-27 00:00:00+00:00,-0.00027317,0.2216381,-9.382e-05
MEUSDT,2026-05-27 04:00:00+00:00,-0.00024845,0.25672123,6.041e-05
MEUSDT,2026-05-27 08:00:00+00:00,-0.00013263,0.40222824,4.864e-05
MEUSDT,2026-05-27 12:00:00+00:00,-0.00020201,0.314475,-4.039e-05
MEUSDT,2026-05-27 16:00:00+00:00,-0.00021483,0.3057142,-3.567e-05
MEUSDT,2026-05-27 20:00:00+00:00,-0.00017681,0.35669777,-9.416e-05
MEUSDT,2026-05-28 00:00:00+00:00,-0.00019108,0.3468927,8.209e-05
MEUSDT,2026-05-28 04:00:00+00:00,-0.00038127,0.11212969,-0.00013282
MEUSDT,2026-05-28 08:00:00+00:00,-0.00042611,0.06923401,-0.00029348
MEUSDT,2026-05-28 12:00:00+00:00,-0.00055501,-0.07989936,-0.000353
MEUSDT,2026-05-28 16:00:00+00:00,-0.00042013,0.10612417,-0.0002053
MEUSDT,2026-05-28 20:00:00+00:00,-0.00032945,0.23814596,-0.00015264
MEUSDT,2026-05-29 00:00:00+00:00,-0.00029784,0.2923639,-0.00010676
MEUSDT,2026-05-29 04:00:00+00:00,-0.0002699,0.33918327,0.00011137
MEUSDT,2026-05-29 08:00:00+00:00,-0.00041665,0.15891631,9.46e-06
MEUSDT,2026-05-29 12:00:00+00:00,-0.00022024,0.43287933,0.00033477
MEUSDT,2026-05-29 16:00:00+00:00,-0.00035136,0.27103662,6.877e-05
MEUSDT,2026-05-29 20:00:00+00:00,-0.00045369,0.14682014,-0.00012424
