era,feature,label,n_cyc,med_n_sym,block_days,ic_raw,t_raw,ic_pred_orth,t_pred_orth,ic_v0_orth,t_v0_orth
rec,ret_24h,r24,1591,167,1,-0.03953556604711852,-6.513451873793923,-0.03420101960889305,-5.913092894120926,0.011038437061931273,5.107777317447317
rec,ret_36h,r24,1591,167,1,-0.03336327084277182,-5.193363283027749,-0.02820111094708832,-4.605590898634309,-0.0009260933729645786,-0.2800808917414331
rec,ret_3d_c,r24,1591,167,1,-0.02958525414748651,-4.15906391209051,-0.024539774633450338,-3.5714183614153137,0.009136758334861684,2.549151741296687
rec,ret_5d,r24,1591,167,1,-0.021453844757050946,-3.0897191534971,-0.017441898442363237,-2.604338921154925,0.0065014207157463285,1.475856450421688
rec,ret_7d,r24,1591,167,1,-0.019567326568047633,-2.769941193153643,-0.01638303725401806,-2.410128905186009,0.008491781212731446,1.8853931621592317
rec,ret_12h,r48,1579,167,2,-0.02454485127732559,-4.469303052010717,-0.020081575043285067,-3.912071539986003,0.0007462288763342196,0.32357662033611884
rec,ret_24h,r48,1579,167,2,-0.026911401770359788,-3.9599501769344694,-0.021244987516612898,-3.322380890615234,0.005555527987937603,2.608741796730381
rec,ret_36h,r48,1579,167,2,-0.02262253000358929,-2.8161925078567043,-0.017094475067984442,-2.2397727321097776,0.0007606942266988759,0.22805932072063798
rec,ret_3d_c,r48,1579,167,2,-0.01712676621490131,-1.804437497020309,-0.012459158828457061,-1.3590312596764589,0.004594145462975857,1.330195229015236
rec,ret_5d,r48,1579,167,2,-0.008592955387092866,-0.8533825319390591,-0.005058716579954864,-0.5192417060844923,0.007990817373891436,1.2805380425534982
rec,ret_7d,r48,1579,167,2,-0.008910465010257473,-0.891362811052559,-0.006085518569038453,-0.6264815132896839,0.009717577043827813,1.4791354970483137
rec,ret_12h,r72,1567,167,3,-0.01884814758794332,-3.4382901260782694,-0.013723027751032553,-2.6202531304278702,-0.0013689484458173648,-0.6335389234424257
rec,ret_24h,r72,1567,167,3,-0.01655762736339317,-2.155126153211206,-0.010076053595811424,-1.3713171144215555,0.004420698363884695,2.4191598352957655
rec,ret_36h,r72,1567,167,3,-0.013626757697801835,-1.463269255453647,-0.007396795577312855,-0.821248376279432,0.003398203946397655,0.9729164408809041
rec,ret_3d_c,r72,1567,167,3,-0.006781541512982412,-0.6806676329729194,-0.00166523248891296,-0.1718427888062182,0.009379529611239999,3.0845755996734776
rec,ret_5d,r72,1567,167,3,0.0014267735207794826,0.12680234633767043,0.005206836222415888,0.4733466443900722,0.007615325018465675,1.1079724326583202
rec,ret_7d,r72,1567,167,3,-0.003496504851563084,-0.3086292750229266,-0.0002581992986782948,-0.02322377472643025,0.00740944142086505,0.9928075025149696
rec,resid_ret_12h,h4,1601,167,1,-0.04046686727882162,-11.505329597445721,-0.037674884411329226,-10.98975889866316,0.016691127443638102,7.680881804160939
rec,resid_ret_24h,h4,1601,167,1,-0.04079859543990182,-10.463957082572326,-0.03715867487601823,-9.824616013952818,0.016928971465350107,7.511583426484054
rec,resid_ret_36h,h4,1601,167,1,-0.03516920930548154,-9.220606681915127,-0.03170087813900546,-8.631049417642663,0.003801740553390561,1.5313841559851717
rec,resid_ret_3d,h4,1601,167,1,-0.028436376100968445,-7.379051244200512,-0.0252704706790239,-6.781308233094395,0.004991286595986133,2.1797955322904863
rec,resid_ret_5d,h4,1601,167,1,-0.02408847681059086,-6.2641732542299335,-0.021294318370012076,-5.7594336905185095,0.005337234494694747,2.210050878846291
rec,resid_ret_12h,h12,1597,167,1,-0.042004871320460546,-9.193397278906314,-0.03838527695926127,-8.610846650443515,0.011969136101611103,5.571387372878611
