sym,t,fold,side,ret,pnl,win,absmove,fz,vq
TIAUSDT,2025-09-11 08:00:00+00:00,2,L,-0.006843551993370056,-0.003421775996685028,0,0.006843551993370056,0.28443236901509567,Q4_high
UNIUSDT,2025-09-11 08:00:00+00:00,2,L,-0.007069992832839489,-0.0035349964164197445,0,0.007069992832839489,0.45668962244124905,Q3
AVAXUSDT,2025-09-11 08:00:00+00:00,2,S,0.006787566468119621,-0.0022625221560398736,0,0.006787566468119621,0.399600579727285,Q2
PENDLEUSDT,2025-09-11 08:00:00+00:00,2,S,-0.009315406903624535,0.0031051356345415115,1,0.009315406903624535,0.5542902512566045,Q3
TAOUSDT,2025-09-11 08:00:00+00:00,2,S,-0.005478379782289267,0.0018261265940964222,1,0.005478379782289267,0.26817936763248296,Q3
SUIUSDT,2025-09-11 12:00:00+00:00,2,L,-0.00293336296454072,-0.00146668148227036,0,0.00293336296454072,0.6095215291822326,Q2
TIAUSDT,2025-09-11 12:00:00+00:00,2,L,-0.0038407230749726295,-0.0019203615374863148,0,0.0038407230749726295,0.28443236901509567,Q4_high
AVAXUSDT,2025-09-11 12:00:00+00:00,2,S,0.002212695311754942,-0.000737565103918314,0,0.002212695311754942,0.399600579727285,Q2
PENDLEUSDT,2025-09-11 12:00:00+00:00,2,S,0.008577468805015087,-0.0028591562683383622,0,0.008577468805015087,0.5542902512566045,Q3
TAOUSDT,2025-09-11 12:00:00+00:00,2,S,-0.007981788367033005,0.002660596122344335,1,0.007981788367033005,0.26817936763248296,Q3
ICPUSDT,2025-09-11 16:00:00+00:00,2,L,0.0036839949898421764,0.0012279983299473922,1,0.0036839949898421764,0.6686391503575801,Q3
SUIUSDT,2025-09-11 16:00:00+00:00,2,L,0.002248126547783613,0.0007493755159278711,1,0.002248126547783613,0.5785915469247039,Q2
TIAUSDT,2025-09-11 16:00:00+00:00,2,L,0.0037988319527357817,0.001266277317578594,1,0.0037988319527357817,-1.6946898355981375,Q4_high
AVAXUSDT,2025-09-11 16:00:00+00:00,2,S,-0.00027597625739872456,9.199208579957485e-05,1,0.00027597625739872456,0.399600579727285,Q2
PENDLEUSDT,2025-09-11 16:00:00+00:00,2,S,0.02080214023590088,-0.006934046745300293,0,0.02080214023590088,0.554023259293171,Q3
TAOUSDT,2025-09-11 16:00:00+00:00,2,S,0.01589370146393776,-0.005297900487979253,0,0.01589370146393776,0.22191547349062074,Q3
ICPUSDT,2025-09-11 20:00:00+00:00,2,L,0.014070146717131138,0.007035073358565569,1,0.014070146717131138,-2.107516150627716,Q3
SUIUSDT,2025-09-11 20:00:00+00:00,2,L,0.014787738211452961,0.0073938691057264805,1,0.014787738211452961,-0.16992974699278535,Q2
PENDLEUSDT,2025-09-11 20:00:00+00:00,2,S,0.037236228585243225,-0.018618114292621613,0,0.037236228585243225,0.437449922409673,Q3
TAOUSDT,2025-09-11 20:00:00+00:00,2,S,-0.0029003291856497526,0.0014501645928248763,1,0.0029003291856497526,0.15582724318931931,Q3
SUIUSDT,2025-09-12 00:00:00+00:00,2,L,-0.004011461511254311,-0.004011461511254311,0,0.004011461511254311,-0.20907576348622645,Q2
PENDLEUSDT,2025-09-12 00:00:00+00:00,2,S,-0.019344985485076904,0.009672492742538452,1,0.019344985485076904,0.4282516697980737,Q3
TAOUSDT,2025-09-12 00:00:00+00:00,2,S,-0.007775353733450174,0.003887676866725087,1,0.007775353733450174,0.15582724318931931,Q3
NEARUSDT,2025-09-12 04:00:00+00:00,2,L,0.0029271862003952265,0.0014635931001976132,1,0.0029271862003952265,0.31758509725729017,Q2
SUIUSDT,2025-09-12 04:00:00+00:00,2,L,0.00515096727758646,0.00257548363879323,1,0.00515096727758646,0.5095266033154917,Q2
AVAXUSDT,2025-09-12 04:00:00+00:00,2,S,-0.0009774488862603903,0.0003258162954201301,1,0.0009774488862603903,-2.380681839732605,Q2
PENDLEUSDT,2025-09-12 04:00:00+00:00,2,S,-0.0032877661287784576,0.0010959220429261525,1,0.0032877661287784576,-1.652090405962742,Q3
TAOUSDT,2025-09-12 04:00:00+00:00,2,S,-0.005806742701679468,0.0019355809005598228,1,0.005806742701679468,0.15779312604393905,Q3
ICPUSDT,2025-09-12 08:00:00+00:00,2,L,-0.017318664118647575,-0.008659332059323788,0,0.017318664118647575,-0.10130069803338197,Q3
SUIUSDT,2025-09-12 08:00:00+00:00,2,L,-0.020988933742046356,-0.010494466871023178,0,0.020988933742046356,0.4743012942315914,Q2
PENDLEUSDT,2025-09-12 08:00:00+00:00,2,S,-0.007581018377095461,0.0037905091885477304,1,0.007581018377095461,-1.873238335602022,Q3
TAOUSDT,2025-09-12 08:00:00+00:00,2,S,-0.01970513164997101,0.009852565824985504,1,0.01970513164997101,0.15779312604393905,Q3
ICPUSDT,2025-09-12 12:00:00+00:00,2,L,0.007671573664993048,0.002557191221664349,1,0.007671573664993048,-0.060209583570989225,Q3
SUIUSDT,2025-09-12 12:00:00+00:00,2,L,0.011109255254268646,0.0037030850847562156,1,0.011109255254268646,0.4743012942315914,Q2
UNIUSDT,2025-09-12 12:00:00+00:00,2,L,0.010686561465263367,0.003562187155087789,1,0.010686561465263367,0.25803859784165095,Q3
HBARUSDT,2025-09-12 12:00:00+00:00,2,S,0.010906040668487549,-0.005453020334243774,0,0.010906040668487549,0.5408607929516963,Q2
PENDLEUSDT,2025-09-12 12:00:00+00:00,2,S,0.008785740472376347,-0.004392870236188173,0,0.008785740472376347,0.25885930280190533,Q3
ICPUSDT,2025-09-12 16:00:00+00:00,2,L,0.018106995150446892,0.009053497575223446,1,0.018106995150446892,-0.04651571420820083,Q3
SUIUSDT,2025-09-12 16:00:00+00:00,2,L,0.018780117854475975,0.009390058927237988,1,0.018780117854475975,0.4743012942315914,Q2
HBARUSDT,2025-09-12 16:00:00+00:00,2,S,0.012738589197397232,-0.006369294598698616,0,0.012738589197397232,0.5359267559444779,Q2
PENDLEUSDT,2025-09-12 16:00:00+00:00,2,S,0.017784543335437775,-0.008892271667718887,0,0.017784543335437775,0.26711444228355014,Q3
SUIUSDT,2025-09-12 20:00:00+00:00,2,L,0.005216639023274183,0.005216639023274183,1,0.005216639023274183,-2.2718499149275653,Q2
TAOUSDT,2025-09-12 20:00:00+00:00,2,S,0.011240353807806969,-0.011240353807806969,0,0.011240353807806969,0.15779312604393905,Q3
PENDLEUSDT,2025-09-13 00:00:00+00:00,2,L,0.0008763574296608567,0.0002921191432202856,1,0.0008763574296608567,-3.430502068593378,Q3
SUIUSDT,2025-09-13 00:00:00+00:00,2,L,0.0059155686758458614,0.001971856225281954,1,0.0059155686758458614,-2.0912547065376526,Q2
UNIUSDT,2025-09-13 00:00:00+00:00,2,L,0.008853910490870476,0.0029513034969568253,1,0.008853910490870476,-2.248122287291437,Q3
TAOUSDT,2025-09-13 00:00:00+00:00,2,S,-0.002571475924924016,0.002571475924924016,1,0.002571475924924016,0.15779312604393905,Q3
PENDLEUSDT,2025-09-13 04:00:00+00:00,2,L,0.0015417998656630516,0.0007708999328315258,1,0.0015417998656630516,0.15040708186351773,Q3
UNIUSDT,2025-09-13 04:00:00+00:00,2,L,-0.0099463677033782,-0.0049731838516891,0,0.0099463677033782,0.31666911544986437,Q3
ICPUSDT,2025-09-13 04:00:00+00:00,2,S,0.00039761431980878115,-0.00019880715990439057,0,0.00039761431980878115,0.7410269517658985,Q3
TAOUSDT,2025-09-13 04:00:00+00:00,2,S,0.0026335485745221376,-0.0013167742872610688,0,0.0026335485745221376,0.15613500835154603,Q3
UNIUSDT,2025-09-13 08:00:00+00:00,2,L,0.01378902792930603,0.01378902792930603,1,0.01378902792930603,0.31666911544986437,Q3
AVAXUSDT,2025-09-13 08:00:00+00:00,2,S,-0.015817563980817795,0.007908781990408897,1,0.015817563980817795,-0.5279782478772331,Q2
ICPUSDT,2025-09-13 08:00:00+00:00,2,S,0.01649443618953228,-0.00824721809476614,0,0.01649443618953228,0.7272548980260556,Q3
UNIUSDT,2025-09-13 12:00:00+00:00,2,L,-0.014961624518036842,-0.014961624518036842,0,0.014961624518036842,-1.9772284907091229,Q3
ICPUSDT,2025-09-13 12:00:00+00:00,2,S,-0.005669599398970604,0.002834799699485302,1,0.005669599398970604,0.6917656791817046,Q3
NEARUSDT,2025-09-13 12:00:00+00:00,2,S,-0.01910385489463806,0.00955192744731903,1,0.01910385489463806,0.22232606509606465,Q2
PENDLEUSDT,2025-09-13 16:00:00+00:00,2,L,0.0038224223535507917,0.0019112111767753959,1,0.0038224223535507917,0.46759926265151125,Q3
UNIUSDT,2025-09-13 16:00:00+00:00,2,L,-0.006410888861864805,-0.0032054444309324026,0,0.006410888861864805,0.3950619371151997,Q3
ICPUSDT,2025-09-13 16:00:00+00:00,2,S,-0.009044435806572437,0.009044435806572437,1,0.009044435806572437,0.6571152572919295,Q3
PENDLEUSDT,2025-09-13 20:00:00+00:00,2,L,0.0036339035723358393,0.001211301190778613,1,0.0036339035723358393,0.4712438056952301,Q3
